step,geometric_rms_um,hdoe_wfe_rms_nm,valid_fraction,scalar_loss,paraxial_defocus_um,lm_parameter
0,42.3522740602,2059.99449827,1,2.12268567085,199.061587453,1
1,28.672689572,809.185265098,1,0.327801465988,123.284377158,0.5
2,22.7966457605,299.887091387,1,0.0452259778976,84.7504585981,0.25
3,14.6891176701,153.347544256,1,0.0118656205013,64.4843503833,0.125
4,7.64553621411,73.2503758627,1,0.0027120357845,50.3840595484,0.0625
5,5.95234520733,31.5666038659,1,0.000515940424521,41.7002737522,0.03125
6,6.18338212371,22.87371899,1,0.000280720647424,37.3980849981,0.015625
7,5.87393017486,20.8718829526,1,0.000235069266637,34.0772382915,0.0078125
8,5.08891092613,18.0090719368,1,0.000175111854332,29.2364694178,0.00390625
9,3.87191749178,13.6731669045,1,0.000100973622466,21.9684671611,0.001953125
10,2.38144793548,8.36587150843,1,3.78295480914e-05,13.0765894428,0.0009765625
11,1.06798403431,3.68550877283,1,7.36178299121e-06,5.23600494489,0.00048828125
12,0.330000475515,1.04019215996,1,5.95450046603e-07,0.801367452368,0.000244140625
13,0.106513842184,0.186239105915,1,2.30151027125e-08,-0.659457815345,0.0001220703125
14,0.080915990111,0.0883741222424,1,7.17869186317e-09,-0.921686238144,6.103515625e-05
