zone,rmin_mm,rmax_mm,A2_initial_mm_inv3,A2_final_mm_inv3,A2_change_mm_inv3,delta_A1_change_mm_inv,delta_Z_change_mm,Rmax_change_mm
1,0,7.27135390043,2.22788453102e-07,2.184638381e-07,-4.324615002e-09,0,0,0
2,7.27135390043,10.2901034057,2.11017400026e-07,2.15322226286e-07,4.30482626e-09,0,0,0
3,10.2901034057,12.6109361649,2.16676622629e-07,2.12427169085e-07,-4.249453544e-09,0,0,0
4,12.6109361649,14.5713537931,2.05399274826e-07,2.09590241313e-07,4.190966487e-09,0,0,0
5,14.5713537931,16.3020834327,2.1094250679e-07,2.06805825233e-07,-4.136681557e-09,0,0,0
6,16.3020834327,17.8692698479,1.99990779161e-07,2.04070955515e-07,4.080176354e-09,0,0,0
7,17.8692698479,19.3140611053,2.05413907766e-07,2.01385259628e-07,-4.028648138e-09,0,0,0
8,19.3140611053,20.6609383225,1.94772049785e-07,1.98746457696e-07,3.974407911e-09,0,0,0
9,20.6609383225,21.9286456704,2.00077310205e-07,1.96153536439e-07,-3.923773766e-09,0,0,0
10,21.9286456704,23.1296882033,1.89734429121e-07,1.93605795503e-07,3.871366382e-09,0,0,0
11,23.1296882033,24.2744788527,1.94924980402e-07,1.91102311015e-07,-3.822669387e-09,0,0,0
12,24.2744788527,25,1.85436800122e-07,1.89220234752e-07,3.78343463e-09,0,0,0
