name,nd,vd,dpgf,ignore
S-FPL53,1.43875,94.926439,0.0461,True
S-FPL55,1.43875,94.660194,0.0457,True
S-FSL 5,1.48749,70.233396,0.0022,False
S-FPL51,1.496999,81.542084,0.028,True
S-BSL 7,1.51633,64.140373,-0.0024,False
S-NSL36,1.517417,52.428514,-0.0002,False
S-NSL 3,1.518229,58.903046,-0.0005,False
S-FPM 4,1.52841,76.459268,0.0218,True
S-TIL 6,1.531717,48.839625,0.0007,False
S-FPM 3,1.53775,74.697875,0.0186,True
S-BAL12,1.539956,59.459971,-0.0012,False
S-TIL 2,1.54072,47.228579,0,False
S-TIL 1,1.548141,45.785249,0.0012,False
S-FPM 5,1.552,70.696721,0.015,True
S-TIL26,1.567322,42.816755,0.0009,False
S-BAL14,1.568832,56.364645,-0.0014,False
S-BAL 3,1.571351,52.9519,-0.0005,False
S-TIL27,1.575006,41.504692,0.0024,False
S-TIL25,1.581439,40.74555,0.0019,False
S-BAL42,1.583126,59.37542,-0.002,False
S-BAL35,1.58913,61.138439,-0.0018,False
S-FTM16,1.592701,35.311349,0.009,False
S-FPM 2,1.59522,67.738705,0.0123,True
S-TIM 8,1.595509,39.240182,0.0023,False
S-PHM53,1.603001,65.436896,0.0045,False
S-BSM14,1.603112,60.644746,-0.0019,False
S-TIM 5,1.60342,38.027477,0.0036,False
S-BAM 4,1.60562,43.704987,0.0013,False
S-BSM 2,1.607379,56.812178,-0.0013,False
S-NBM51,1.613397,44.266219,-0.0065,False
S-BSM28,1.617722,49.812273,-0.0006,False
S-PHM52,1.618,63.33265,0.0051,False
S-PHM52Q,1.618,63.319672,0.0036,True
S-TIM 2,1.620041,36.261828,0.0051,False
S-BSM16,1.620411,60.292614,-0.0012,False
S-NBM52,1.62205,41.078386,-0.006,False
S-BSM10,1.622799,57.053774,-0.0028,False
S-BSM15,1.622992,58.163757,-0.0016,False
S-BSM18,1.638539,55.375856,-0.0035,False
S-BAM12,1.6393,44.872605,-0.0006,False
S-TIM27,1.639799,34.464501,0.0065,False
S-BSM81,1.639999,60.07688,-0.0073,False
S-BSM71,1.648498,53.020849,-0.001,False
S-LAL54Q,1.651,56.237042,-0.0085,False
S-LAL 7Q,1.6516,58.544474,-0.0078,False
S-NBH 5,1.654115,39.681813,-0.0036,False
S-BSM25,1.658441,50.876294,-0.0031,False
S-BAH11,1.666718,48.323404,-0.0024,False
S-TIM25,1.6727,32.09906,0.0093,False
S-NBH52V,1.673,38.256025,-0.0039,False
S-LAL12Q,1.6779,55.347812,-0.0085,False
S-LAL12,1.6779,55.338776,-0.0047,True
S-TIM28,1.688931,31.074921,0.0092,False
S-LAL 9,1.691002,54.819675,-0.0079,False
S-LAL58,1.693495,50.809217,-0.0047,False
S-LAL14,1.696797,55.530523,-0.0082,False
S-TIM35,1.698947,30.128324,0.0103,False
S-LAL20,1.6993,51.110949,-0.0036,False
S-BAH27,1.701536,41.237715,0.0018,False
S-LAL21,1.703,52.376695,-0.0061,False
S-LAL 8,1.712995,53.86786,-0.0084,False
S-LAM 3,1.717004,47.924871,-0.0034,False
S-TIH 1,1.717362,29.517426,0.011,False
S-LAL10,1.719995,50.229873,-0.0081,False
S-NBH 8,1.720467,34.70792,-0.0019,False
S-TIH18,1.721507,29.230928,0.0111,False
S-BAH28,1.72342,37.954879,0.0035,False
S-TIH10,1.72825,28.460607,0.0123,False
S-LAL18,1.729157,54.67994,-0.0086,False
S-LAL19,1.72916,54.091988,-0.0092,False
S-LAL59,1.733997,51.468831,-0.0096,False
S-NBH53V,1.738,32.325887,0.0008,False
S-TIH 3,1.739998,28.296039,0.0122,False
S-TIH13,1.740769,27.788911,0.013,False
S-LAL61,1.740999,52.635246,-0.0096,False
S-LAL61Q,1.741,52.60169,-0.0085,True
S-LAM60,1.743198,49.339308,-0.0085,False
S-LAM 2,1.743997,44.784025,-0.0035,False
S-LAM 7,1.749497,35.282069,0.0025,False
S-NBH51,1.749505,35.330678,-0.0025,False
S-LAH97,1.755,52.317927,-0.0094,False
S-TIH 4,1.755199,27.511803,0.0133,False
S-TIH14,1.761821,26.517491,0.015,False
S-LAM55,1.762001,40.098984,-0.0001,False
S-LAH96,1.76385,48.489177,-0.0041,False
S-NBH59,1.766342,35.822091,-0.0043,False
S-LAH66,1.772499,49.595467,-0.0092,False
S-NPH 7,1.7783,23.911641,0.022,True
S-TIH11,1.784723,25.683151,0.0162,False
S-LAH51,1.785896,44.201125,-0.0069,False
S-LAH64,1.788001,47.367216,-0.0089,False
S-NBH58,1.7888,28.428299,0.0054,False
S-LAM73,1.7936,37.089312,0.0013,False
S-LAH52,1.799516,42.224241,-0.006,False
S-LAH52Q,1.79952,42.240068,-0.0056,True
